customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Stephen Herrera,juan81@example.org,261-241-3337x1134,"997 David Lodge Apt. 303
West Christian, VI 60332",2023-03-23,False,Mexican,4,4.2
2,Emily Coleman,emilysimmons@example.com,(683)405-6541,"642 Patricia Estate
New Michelleland, NM 58376",2024-10-07,False,Mexican,50,4.9
3,Jeffrey Gill,zedwards@example.net,2326837348,"23665 Michael Trace
New Devin, NM 85609",2024-10-13,False,Indian,33,3.3
4,Patrick Brown,michael10@example.com,207.387.6472,"9516 Mclean Landing
South Jacqueline, IA 25140",2024-06-17,False,Indian,43,4.4
5,Benjamin Townsend,roberto80@example.org,278.292.2827x35977,"736 Beth Village Apt. 112
Dianastad, LA 52524",2023-12-10,False,Indian,49,3.9
6,Gabriela Griffin,jonesthomas@example.net,206.329.6858x563,"85723 Thomas Ramp Apt. 562
Graystad, WA 46319",2023-05-11,False,Indian,44,3.0
7,Sara Velasquez MD,fjones@example.com,001-722-632-1363x411,"806 Lisa Trace Apt. 615
Waynetown, NE 44558",2024-06-03,True,Italian,9,3.5
8,Rachel Kaiser,jennifer16@example.org,707.452.9845,"53483 Yoder View Suite 613
Lake Robertborough, MI 80559",2024-05-02,False,Mexican,34,4.4
9,Russell Cunningham,jwatson@example.net,+1-294-764-1470,"PSC 6833, Box 4093
APO AP 18424",2024-11-22,False,Italian,50,4.2
10,Christopher Browning,robertsoncasey@example.com,596-953-3500,"363 Joseph Mills Suite 851
Buchananmouth, WY 32712",2024-05-22,True,Mexican,49,3.7
11,Terry Lopez,ashleysanford@example.org,+1-866-422-7917x638,"8633 Martinez Freeway
Annechester, NM 14555",2023-12-24,False,Mexican,42,4.5
12,Ms. Anne Reynolds,drakedawn@example.org,(880)470-2592x163,"7826 Susan Orchard
South Danielport, AR 90336",2023-05-01,False,Indian,11,4.6
13,Dylan Ochoa,paul51@example.net,254-647-8032x657,"9419 Logan Fields
Potterborough, NE 10241",2023-10-16,True,Chinese,48,4.4
14,April Reed,yallen@example.org,+1-881-568-1857x341,"82230 Kimberly Plains
Carsonfurt, AZ 32601",2023-05-22,True,Indian,16,4.3
15,Kelly Buck,whitney51@example.net,+1-541-208-0009,"810 Alexis Rapid
Lindseyburgh, GU 36498",2023-03-05,True,Mexican,5,4.5
16,Lance Morgan,markskatherine@example.net,563-329-3141,"1736 Shaw Valley Suite 755
Camposton, WI 30011",2024-11-09,False,Mexican,41,3.0
